Row ID,Order ID,Order Date,Ship Date,Ship Mode
1,CA-2017-152156,8/11/2017,11/11/2017,Second Class
10,CA-2015-115812,9/6/2015,14/06/2015,Standard Class
100,CA-2017-158568,29/08/2017,2/9/2017,Standard Class
1000,CA-2016-162537,28/10/2016,3/11/2016,Standard Class
1001,CA-2017-155488,13/11/2017,17/11/2017,Standard Class
1002,CA-2016-124891,31/07/2016,31/07/2016,Same Day
1003,CA-2016-124891,31/07/2016,31/07/2016,Same Day
1004,CA-2016-124891,31/07/2016,31/07/2016,Same Day
1005,CA-2016-126445,27/08/2016,31/08/2016,Standard Class
1006,CA-2016-111199,13/11/2016,17/11/2016,Standard Class
1007,CA-2016-105312,6/11/2016,9/11/2016,First Class
1008,CA-2016-105312,6/11/2016,9/11/2016,First Class
1009,US-2018-106705,26/12/2018,1/1/2019,Standard Class
101,CA-2017-158568,29/08/2017,2/9/2017,Standard Class
1010,CA-2018-135034,1/8/2018,3/8/2018,First Class
1011,CA-2015-158540,24/11/2015,26/11/2015,First Class
1012,CA-2018-118437,17/06/2018,21/06/2018,Second Class
1013,CA-2018-118437,17/06/2018,21/06/2018,Second Class
1014,US-2016-126214,21/12/2016,24/12/2016,Second Class
1015,US-2016-126214,21/12/2016,24/12/2016,Second Class
1016,CA-2016-133025,17/09/2016,19/09/2016,Second Class
1017,CA-2016-108665,6/7/2016,10/7/2016,Standard Class
1018,CA-2016-108665,6/7/2016,10/7/2016,Standard Class
1019,CA-2016-108665,6/7/2016,10/7/2016,Standard Class
102,CA-2017-158568,29/08/2017,2/9/2017,Standard Class
1020,CA-2016-108665,6/7/2016,10/7/2016,Standard Class
1021,CA-2016-124450,27/04/2016,3/5/2016,Standard Class
1022,CA-2016-124450,27/04/2016,3/5/2016,Standard Class
1023,CA-2016-124450,27/04/2016,3/5/2016,Standard Class
1024,CA-2016-167269,16/06/2016,20/06/2016,Standard Class
1025,CA-2018-106964,17/12/2018,20/12/2018,First Class
1026,CA-2017-126529,11/1/2017,13/01/2017,Second Class
1027,CA-2017-126529,11/1/2017,13/01/2017,Second Class
1028,CA-2017-126529,11/1/2017,13/01/2017,Second Class
1029,CA-2015-163552,11/7/2015,15/07/2015,Standard Class
