Country,City,State,Postal Code,Region
United States,Aberdeen,South Dakota,57401,Central
United States,Abilene,Texas,79605,Central
United States,Akron,Ohio,44312,East
United States,Albuquerque,New Mexico,87105,West
United States,Alexandria,Virginia,22304,South
United States,Allen,Texas,75002,Central
United States,Allentown,Pennsylvania,18103,East
United States,Altoona,Pennsylvania,16602,East
United States,Amarillo,Texas,79109,Central
United States,Anaheim,California,92804,West
United States,Andover,Massachusetts,1810,East
United States,Ann Arbor,Michigan,48104,Central
United States,Antioch,California,94509,West
United States,Apopka,Florida,32712,South
United States,Apple Valley,Minnesota,55124,Central
United States,Apple Valley,California,92307,West
United States,Appleton,Wisconsin,54915,Central
United States,Arlington,Virginia,22204,South
United States,Arlington,Texas,76017,Central
United States,Arlington Heights,Illinois,60004,Central
United States,Arvada,Colorado,80004,West
United States,Asheville,North Carolina,28806,South
United States,Athens,Georgia,30605,South
United States,Atlanta,Georgia,30318,South
United States,Atlantic City,New Jersey,8401,East
United States,Auburn,New York,13021,East
United States,Auburn,Alabama,36830,South
United States,Auburn,Washington,98002,West
United States,Aurora,Illinois,60505,Central
United States,Aurora,Colorado,80013,West
United States,Austin,Texas,78745,Central
United States,Avondale,Arizona,85323,West
United States,Bakersfield,California,93309,West
United States,Baltimore,Maryland,21215,East
United States,Bangor,Maine,4401,East
United States,Bartlett,Tennessee,38134,South
United States,Bayonne,New Jersey,7002,East
United States,Baytown,Texas,77520,Central
United States,Beaumont,Texas,77705,Central
United States,Bedford,Texas,76021,Central
United States,Belleville,New Jersey,7109,East
United States,Bellevue,Washington,98006,West
United States,Bellingham,Washington,98226,West
United States,Bethlehem,Pennsylvania,18018,East
United States,Beverly,Massachusetts,1915,East
United States,Billings,Montana,59102,West
United States,Bloomington,Indiana,47401,Central
United States,Bloomington,Illinois,61701,Central
United States,Boca Raton,Florida,33433,South
United States,Boise,Idaho,83704,West
United States,Bolingbrook,Illinois,60440,Central
United States,Bossier City,Louisiana,71111,South
United States,Bowling Green,Kentucky,42104,South
United States,Bowling Green,Ohio,43402,East
United States,Boynton Beach,Florida,33437,South
United States,Bozeman,Montana,59715,West
United States,Brentwood,California,94513,West
United States,Bridgeton,New Jersey,8302,East
United States,Bristol,Tennessee,37620,South
United States,Bristol,Connecticut,6010,East
United States,Broken Arrow,Oklahoma,74012,Central
United States,Broomfield,Colorado,80020,West
United States,Brownsville,Texas,78521,Central
United States,Bryan,Texas,77803,Central
United States,Buffalo,New York,14215,East
United States,Buffalo Grove,Illinois,60089,Central
United States,Bullhead City,Arizona,86442,West
United States,Burbank,California,91505,West
United States,Burlington,North Carolina,27217,South
United States,Burlington,Iowa,52601,Central
United States,Burlington,Vermont,5401,East
United States,Caldwell,Idaho,83605,West
United States,Camarillo,California,93010,West
United States,Cambridge,Massachusetts,2138,East
United States,Canton,Michigan,48187,Central
United States,Carlsbad,New Mexico,88220,West
United States,Carol Stream,Illinois,60188,Central
United States,Carrollton,Texas,75007,Central
United States,Cary,North Carolina,27511,South
United States,Cedar Hill,Texas,75104,Central
United States,Cedar Rapids,Iowa,52402,Central
United States,Champaign,Illinois,61821,Central
United States,Chandler,Arizona,85224,West
United States,Chapel Hill,North Carolina,27514,South
United States,Charlotte,North Carolina,28205,South
United States,Charlottesville,Virginia,22901,South
United States,Chattanooga,Tennessee,37421,South
United States,Chesapeake,Virginia,23320,South
United States,Chester,Pennsylvania,19013,East
United States,Cheyenne,Wyoming,82001,West
United States,Chicago,Illinois,60610,Central
United States,Chicago,Illinois,60623,Central
United States,Chicago,Illinois,60653,Central
United States,Chico,California,95928,West
United States,Chula Vista,California,91911,West
United States,Cincinnati,Ohio,45231,East
United States,Citrus Heights,California,95610,West
United States,Clarksville,Tennessee,37042,South
United States,Cleveland,Ohio,44105,East
United States,Clifton,New Jersey,7011,East
United States,Clinton,Maryland,20735,East
United States,Clovis,New Mexico,88101,West
United States,Coachella,California,92236,West
United States,College Station,Texas,77840,Central
United States,Colorado Springs,Colorado,80906,West
United States,Columbia,Maryland,21044,East
United States,Columbia,South Carolina,29203,South
United States,Columbia,Tennessee,38401,South
United States,Columbia,Missouri,65203,Central
United States,Columbus,Georgia,31907,South
United States,Columbus,Ohio,43229,East
United States,Columbus,Indiana,47201,Central
United States,Commerce City,Colorado,80022,West
United States,Concord,North Carolina,28027,South
United States,Concord,New Hampshire,3301,East
United States,Concord,California,94521,West
United States,Conroe,Texas,77301,Central
United States,Conway,Arkansas,72032,South
United States,Coon Rapids,Minnesota,55433,Central
United States,Coppell,Texas,75019,Central
United States,Coral Gables,Florida,33134,South
United States,Coral Springs,Florida,33065,South
United States,Corpus Christi,Texas,78415,Central
United States,Costa Mesa,California,92627,West
United States,Cottage Grove,Minnesota,55016,Central
United States,Covington,Washington,98042,West
United States,Cranston,Rhode Island,2920,East
United States,Cuyahoga Falls,Ohio,44221,East
United States,Dallas,Texas,75081,Central
United States,Dallas,Texas,75217,Central
United States,Dallas,Texas,75220,Central
United States,Danbury,Connecticut,6810,East
United States,Danville,Illinois,61832,Central
United States,Danville,California,94526,West
United States,Davis,California,95616,West
United States,Daytona Beach,Florida,32114,South
United States,Dearborn,Michigan,48126,Central
United States,Dearborn Heights,Michigan,48127,Central
United States,Decatur,Alabama,35601,South
United States,Decatur,Illinois,62521,Central
United States,Deer Park,Texas,77536,Central
United States,Delray Beach,Florida,33445,South
United States,Deltona,Florida,32725,South
United States,Denver,Colorado,80219,West
United States,Des Moines,Iowa,50315,Central
United States,Des Moines,Washington,98198,West
United States,Des Plaines,Illinois,60016,Central
United States,Detroit,Michigan,48205,Central
United States,Detroit,Michigan,48227,Central
United States,Detroit,Michigan,48234,Central
United States,Dover,Delaware,19901,East
United States,Dover,New Hampshire,3820,East
United States,Draper,Utah,84020,West
United States,Dublin,Ohio,43017,East
United States,Dublin,California,94568,West
United States,Dubuque,Iowa,52001,Central
United States,Durham,North Carolina,27707,South
United States,Eagan,Minnesota,55122,Central
United States,East Orange,New Jersey,7017,East
United States,East Point,Georgia,30344,South
United States,Eau Claire,Wisconsin,54703,Central
United States,Edinburg,Texas,78539,Central
United States,Edmond,Oklahoma,73034,Central
United States,Edmonds,Washington,98026,West
United States,El Cajon,California,92020,West
United States,El Paso,Texas,79907,Central
United States,Elkhart,Indiana,46514,Central
United States,Elmhurst,Illinois,60126,Central
United States,Elyria,Ohio,44035,East
United States,Encinitas,California,92024,West
United States,Englewood,Colorado,80112,West
United States,Escondido,California,92025,West
United States,Eugene,Oregon,97405,West
United States,Evanston,Illinois,60201,Central
United States,Everett,Massachusetts,2149,East
United States,Everett,Washington,98208,West
United States,Fairfield,Ohio,45014,East
United States,Fairfield,Connecticut,6824,East
United States,Fairfield,California,94533,West
United States,Fargo,North Dakota,58103,Central
United States,Farmington,New Mexico,87401,West
United States,Fayetteville,North Carolina,28314,South
United States,Fayetteville,Arkansas,72701,South
United States,Florence,South Carolina,29501,South
United States,Florence,Alabama,35630,South
United States,Florence,Kentucky,41042,South
United States,Fort Collins,Colorado,80525,West
United States,Fort Lauderdale,Florida,33311,South
United States,Fort Worth,Texas,76106,Central
United States,Frankfort,Illinois,60423,Central
United States,Franklin,Massachusetts,2038,East
United States,Franklin,Tennessee,37064,South
United States,Franklin,Wisconsin,53132,Central
United States,Freeport,New York,11520,East
United States,Freeport,Illinois,61032,Central
United States,Fremont,Nebraska,68025,Central
United States,Fresno,California,93727,West
United States,Frisco,Texas,75034,Central
United States,Gaithersburg,Maryland,20877,East
United States,Garden City,Kansas,67846,Central
United States,Garland,Texas,75043,Central
United States,Gastonia,North Carolina,28052,South
United States,Georgetown,Kentucky,40324,South
United States,Gilbert,Arizona,85234,West
United States,Gladstone,Missouri,64118,Central
United States,Glendale,Arizona,85301,West
United States,Glenview,Illinois,60025,Central
United States,Goldsboro,North Carolina,27534,South
United States,Grand Island,Nebraska,68801,Central
United States,Grand Prairie,Texas,75051,Central
